household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0010600,10.0,001060010,3.0,1:Male,7.0,7.0,001060007,39.0
0010600,11.0,001060011,1.0,1:Male,7.0,7.0,001060007,39.0
0010651,4.0,001065104,3.0,3:Female,1.0,1.0,001060004,28.0
0010851,7.0,001085107,3.0,1:Male,2.0,2.0,001080012,40.0
0012241,6.0,001224106,0.0,1:Male,2.0,2.0,001220011,32.0
0012400,23.0,001240023,0.0,3:Female,25.0,25.0,001240025,31.0
0012500,12.0,001250012,3.0,1:Male,8.0,8.0,001250008,33.0
0012500,13.0,001250013,0.0,3:Female,8.0,8.0,001250008,33.0
0012951,5.0,001295105,3.0,3:Female,2.0,2.0,001290003,27.0
0012952,4.0,001295204,4.0,3:Female,2.0,2.0,001295202,22.0
0012952,5.0,001295205,1.0,3:Female,2.0,2.0,001295202,22.0
0012952,6.0,001295206,0.0,1:Male,2.0,2.0,001295202,22.0
0012953,5.0,001295305,1.0,1:Male,4.0,4.0,001295304,21.0
0020200,10.0,002020010,4.0,1:Male,11.0,11.0,002020011,22.0
0020441,6.0,002044106,2.0,1:Male,3.0,3.0,002040003,28.0
0020500,9.0,002050009,2.0,3:Female,10.0,10.0,002050010,26.0
0020651,8.0,002065108,4.0,3:Female,2.0,2.0,002060004,34.0
0021800,14.0,002180014,3.0,1:Male,12.0,,,
0021841,4.0,002184104,4.0,1:Male,2.0,2.0,002180007,24.0
0021841,5.0,002184105,1.0,1:Male,2.0,2.0,002180007,24.0
0021900,11.0,002190011,2.0,1:Male,13.0,13.0,002190013,30.0
0022600,9.0,002260009,2.0,1:Male,11.0,11.0,002260011,18.0
0022600,10.0,002260010,0.0,3:Female,11.0,11.0,002260011,18.0
0030141,5.0,003014105,3.0,3:Female,2.0,2.0,003010004,36.0
0030151,3.0,003015103,3.0,3:Female,1.0,1.0,003010005,31.0
0030152,4.0,003015204,0.0,1:Male,1.0,1.0,003010007,25.0
0030153,3.0,003015303,1.0,3:Female,2.0,2.0,003010008,23.0
0030251,2.0,003025102,0.0,1:Male,1.0,1.0,003020005,24.0
0030251,3.0,003025103,3.0,3:Female,1.0,1.0,003020005,24.0
0030300,11.0,003030011,3.0,1:Male,7.0,7.0,003030007,40.0
0030400,9.0,003040009,0.0,3:Female,2.0,2.0,003040002,44.0
0030451,3.0,003045103,1.0,1:Male,2.0,2.0,003040003,25.0
0030500,11.0,003050011,1.0,1:Male,8.0,8.0,003050008,24.0
0030541,4.0,003054104,4.0,3:Female,2.0,2.0,003050004,34.0
0030541,5.0,003054105,2.0,3:Female,2.0,2.0,003050004,34.0
0030551,6.0,003055106,4.0,1:Male,2.0,2.0,003050003,39.0
0030552,3.0,003055203,2.0,3:Female,2.0,2.0,003055202,30.0
0030941,3.0,003094103,4.0,3:Female,1.0,1.0,003090006,30.0
0030941,4.0,003094104,0.0,1:Male,1.0,1.0,003090006,30.0
0030951,3.0,003095103,4.0,3:Female,51:Did not live in this household,,,
0030951,4.0,003095104,2.0,1:Male,51:Did not live in this household,,,
0031151,3.0,003115103,4.0,3:Female,2.0,2.0,003110003,26.0
0031151,4.0,003115104,2.0,3:Female,2.0,2.0,003110003,26.0
0031211,7.0,003121107,2.0,3:Female,2.0,2.0,003120005,33.0
0031341,6.0,003134106,1.0,1:Male,5.0,5.0,003134105,28.0
0031431,6.0,003143106,0.0,1:Male,2.0,2.0,003140004,33.0
0031551,3.0,003155103,3.0,1:Male,2.0,2.0,003150003,28.0
0031751,2.0,003175102,1.0,3:Female,1.0,1.0,003170002,42.0
0031752,3.0,003175203,0.0,1:Male,2.0,2.0,003170006,19.0
0031831,3.0,003183103,2.0,3:Female,4.0,4.0,003183104,28.0
0031841,5.0,003184105,0.0,3:Female,2.0,2.0,003180003,32.0
0031842,3.0,003184203,4.0,3:Female,1.0,1.0,003180006,28.0
0031842,4.0,003184204,0.0,3:Female,1.0,1.0,003180006,28.0
0031851,3.0,003185103,4.0,3:Female,2.0,2.0,003180005,29.0
0031941,5.0,003194105,0.0,1:Male,2.0,2.0,003194102,30.0
0032051,4.0,003205104,3.0,1:Male,2.0,2.0,003205102,34.0
0032400,15.0,003240015,1.0,3:Female,51:Did not live in this household,,,
0032431,7.0,003243107,2.0,1:Male,2.0,2.0,003240006,40.0
0032441,4.0,003244104,4.0,1:Male,2.0,2.0,003240005,33.0
0032441,5.0,003244105,2.0,3:Female,2.0,2.0,003240005,33.0
0032441,6.0,003244106,3.0,1:Male,2.0,2.0,003240005,33.0
0032454,3.0,003245403,0.0,1:Male,2.0,2.0,003243206,17.0
0032500,12.0,003250012,4.0,1:Male,5.0,5.0,003250005,41.0
0032641,4.0,003264104,2.0,3:Female,2.0,2.0,003264102,29.0
0032651,3.0,003265103,1.0,1:Male,2.0,2.0,003265102,28.0
0032941,7.0,003294107,1.0,3:Female,6.0,6.0,003294106,25.0
0040241,3.0,004024103,1.0,1:Male,4.0,4.0,004024104,28.0
0040252,3.0,004025203,1.0,1:Male,2.0,2.0,004020008,22.0
0040321,10.0,004032110,0.0,3:Female,9.0,9.0,004032109,23.0
0040400,12.0,004040012,4.0,1:Male,11.0,11.0,004040011,35.0
0040400,13.0,004040013,2.0,1:Male,11.0,11.0,004040011,35.0
0040451,3.0,004045103,2.0,1:Male,1.0,1.0,004040006,27.0
0040551,3.0,004055103,4.0,1:Male,1.0,1.0,004050003,21.0
0040651,4.0,004065104,1.0,1:Male,2.0,2.0,004065102,29.0
0040653,3.0,004065303,4.0,3:Female,2.0,2.0,004065302,35.0
0040653,4.0,004065304,0.0,3:Female,2.0,2.0,004065302,35.0
0040700,14.0,004070014,3.0,1:Male,12.0,12.0,004070012,23.0
0040700,15.0,004070015,0.0,3:Female,12.0,12.0,004070012,23.0
0040731,9.0,004073109,4.0,3:Female,3.0,3.0,004070008,28.0
0040731,10.0,004073110,2.0,1:Male,3.0,3.0,004070008,28.0
0040743,6.0,004074306,1.0,3:Female,2.0,2.0,004070009,27.0
0041041,6.0,004104106,4.0,3:Female,2.0,2.0,004104102,32.0
0041051,3.0,004105103,4.0,1:Male,2.0,2.0,004105102,25.0
0041111,4.0,004111104,3.0,1:Male,3.0,3.0,004111103,32.0
0041300,8.0,004130008,4.0,3:Female,51:Did not live in this household,,,
0041300,9.0,004130009,1.0,3:Female,51:Did not live in this household,,,
0041341,8.0,004134108,3.0,3:Female,2.0,2.0,004130005,36.0
0041441,6.0,004144106,0.0,1:Male,2.0,2.0,004144102,33.0
0041451,4.0,004145104,1.0,3:Female,2.0,2.0,004140011,23.0
0041500,11.0,004150011,3.0,1:Male,4.0,4.0,004150004,47.0
