source_file,column_name,dtype,missing_count,missing_percentage,sample_values,status
b4_ba6.dta,hhid14_9,object,0,0.0,001220000 | 001250000 | 002040000 | 002044100 | 002060000,needs_codebook_validation
b4_ba6.dta,pid14,float64,0,0.0,2.0 | 8.0 | 3.0 | 6.0 | 5.0,needs_codebook_validation
b4_ba6.dta,ba63a,float64,0,0.0,1.0 | 2.0 | 3.0 | 4.0 | 5.0,needs_codebook_validation
b4_ba6.dta,baar00,category,18619,100.0,,needs_codebook_validation
b4_ba6.dta,ba63cx,category,0,0.0,1:Biological | 6:Duplicate | 2:Step | 3:Adopted | 7:Not child,needs_codebook_validation
b4_ba6.dta,ba63c,float64,17415,93.53,4.0 | 5.0 | 1.0 | 3.0 | 7.0,needs_codebook_validation
b4_ba6.dta,ba64,category,1340,7.2,1:Male | 3:Female,needs_codebook_validation
b4_ba6.dta,ba64a,category,6140,32.98,27.0 | 25.0 | 23.0 | 14.0 | 99:Missing,needs_codebook_validation
b4_ba6.dta,ba64bx,category,1340,7.2,1:Preprinted | 8:New,needs_codebook_validation
b4_ba6.dta,ba64bmt,float64,1743,9.36,9.0 | 4.0 | 11.0 | 12.0 | 10.0,needs_codebook_validation
b4_ba6.dta,ba64byr,float64,1743,9.36,1980.0 | 1982.0 | 1984.0 | 1993.0 | 1990.0,needs_codebook_validation
b4_ba6.dta,ba64c,category,1743,9.36,3:No | 1:Yes,needs_codebook_validation
b4_ba6.dta,ba65,category,11760,63.16,1:Yes | 3:No | 8:Don't know,needs_codebook_validation
b4_ba6.dta,ba65ax,category,18169,97.58,8:Don't know | 1:Month given,needs_codebook_validation
b4_ba6.dta,ba65mt,float64,18227,97.89,98.0 | 9.0 | 8.0 | 6.0 | 10.0,needs_codebook_validation
b4_ba6.dta,ba65ayr,float64,18227,97.89,2002.0 | 2011.0 | 2010.0 | 2000.0 | 2006.0,needs_codebook_validation
b4_ba6.dta,ba66x,category,11760,63.16,1:Given | 8:Don't know,needs_codebook_validation
b4_ba6.dta,ba66,float64,11909,63.96,34.0 | 32.0 | 30.0 | 21.0 | 24.0,needs_codebook_validation
b4_ba6.dta,ba66a,category,11909,63.96,1:Yes | 3:No,needs_codebook_validation
b4_ba6.dta,ba67,category,12445,66.84,2:Married | 1:Unmarried | 5:Widow/widower | 8:Don't know | 4:Divorced,needs_codebook_validation
b4_ba6.dta,ba68,category,12445,66.84,"61:University S1 | 2:Grade school | 3:General jhigh | 6:Vocational shigh (SMK) | 60:Diploma (D1,D2,D3)",needs_codebook_validation
b4_ba6.dta,ba69,category,12445,66.84,3 | 2 | 7:Graduated | 1 | 0:Did not complete St grade at this level,needs_codebook_validation
b4_ba6.dta,ba70,category,12445,66.84,1:In the same village | 4:In the same province | 14:Riau | 31:Jakarta | 13:West Sumatra,needs_codebook_validation
b4_ba6.dta,ba78,category,12565,67.48,1:Yes | 3:No | 6:Not applicable | 8:Don't know,needs_codebook_validation
b4_ba6.dta,ba79,category,12565,67.48,1:With father and mother | 4:Not with father and mother | 3:With mother only | 2:With father only,needs_codebook_validation
b4_ba6.dta,ba80,category,12565,67.48,1:Working/trying to get work/helping to earn income | 3:Attending school | 4:Housekeeping | 2:Job searching | 95:Don't know,needs_codebook_validation
b4_ba6.dta,ba81,category,14901,80.03,4:Government worker/employee | 6:Unpaid family worker | 5:Private worker/employee | 2:Self employed assisted by unreguler workers | 1:Self-employed,needs_codebook_validation
b4_ba6.dta,ba83a,category,12565,67.48,1:Still alive | 8:Don't know | 5:Has died more then 1months ago | 3:Has died in the last 1months,needs_codebook_validation
b4_ba6.dta,ba84,category,12635,67.86,5:Everyday | 2:At least once a year | 3:At least once a month | 1:Never | 4:At least once a week,needs_codebook_validation
b4_ba6.dta,ba84a,category,14166,76.08,3:At least once a month | 1:Never | 4:At least once a week | 5:Everyday | 2:At least once a year,needs_codebook_validation
b4_ba6.dta,ba84b,category,14846,79.74,1:Never | 4:At least once a week | 3:At least once a month | 5:Everyday | 2:At least once a year,needs_codebook_validation
b4_ba6.dta,ba87a,category,12635,67.86,3:No | 1:Yes | 7:Unwilling to answer,needs_codebook_validation
b4_ba6.dta,ba88,object,0,0.0, | G | A | D | H,needs_codebook_validation
b4_ba6.dta,ba88g1,category,18292,98.24,2.0 | 5.0 | 40.0 | 1.0 | 6.0,needs_codebook_validation
b4_ba6.dta,ba88g2,category,18292,98.24,3:Days | 5:Months,needs_codebook_validation
b4_ba6.dta,ba88h1,category,18590,99.84,7.0 | 3.0 | 1.0 | 4.0 | 6.0,needs_codebook_validation
b4_ba6.dta,ba88h2,category,18590,99.84,3:Days | 5:Months,needs_codebook_validation
b4_ba6.dta,ba89a,category,12635,67.86,3:No | 1:Yes | 7:Unwilling to answer,needs_codebook_validation
b4_ba6.dta,ba90,object,0,0.0, | G | H | A | AD,needs_codebook_validation
b4_ba6.dta,ba90g1,category,18133,97.39,1.0 | 7.0 | 108.0 | 48.0 | 2.0,needs_codebook_validation
b4_ba6.dta,ba90g2,category,18133,97.39,3:Days | 5:Months,needs_codebook_validation
b4_ba6.dta,ba90h1,category,18509,99.41,2.0 | 7.0 | 1.0 | 88.0 | 365.0,needs_codebook_validation
b4_ba6.dta,ba90h2,category,18509,99.41,5:Months | 3:Days,needs_codebook_validation
b4_ba6.dta,hhid14,object,0,0.0,0012200 | 0012500 | 0020400 | 0020441 | 0020600,needs_codebook_validation
