Threshold,Precision,Recall (Sens),Specificity,Youden Index,Accuracy,F1-Score
0.2,0.3381371764077929,0.9921691464369616,0.05739262637780312,0.049561772814764815,0.36284544524053225,0.5043789808917197
0.25,0.3518093049971281,0.9592795614722005,0.14215127328012162,0.10143083475232206,0.40916069600818833,0.514814036562303
0.3,0.37254270061231065,0.9052466718872357,0.25997719498289623,0.16522386687013202,0.47082906857727735,0.5278538812785388
0.35,0.4012369540007731,0.8128425998433829,0.411250475104523,0.22409307494790598,0.5424769703172978,0.5372670807453416
0.4,0.4413352970054001,0.7039937353171496,0.5674648422652984,0.27145857758244807,0.6120777891504606,0.5425467712733857
0.45,0.475974025974026,0.5740015661707126,0.69327251995439,0.2672740861251026,0.6542988741044012,0.5204117855875044
0.5,0.5159817351598174,0.442443226311668,0.798555682250095,0.24099890856176298,0.6821903787103377,0.4763912310286678
0.55,0.5755494505494505,0.32811276429130776,0.8825541619156214,0.21066692620692917,0.701381780962129,0.41795511221945136
0.6,0.6228813559322034,0.23022709475332812,0.9323451159255036,0.16257221067883165,0.7029170931422722,0.3361921097770154
0.65,0.6811594202898551,0.14722004698512137,0.9665526415811478,0.11377268856626932,0.6988229273285568,0.2421120412105602
0.7,0.7197452229299363,0.08848864526233359,0.9832763207905739,0.07176496605290761,0.6908904810644831,0.15760111576011157
0.75,0.7833333333333333,0.03680501174628034,0.9950589129608514,0.03186392470713173,0.6819344933469805,0.07030665669409125
0.8,0.7058823529411765,0.009397024275646046,0.9980995819080197,0.007496606183665877,0.6750255885363358,0.01854714064914992
