Label,precision,recall,f1-score,support,Dataset,Model
0,0.8489795918367347,0.25365853658536586,0.39061032863849765,820.0,Train,Logistic Regression
1,0.7136172204024334,0.9763124199743918,0.8245471749121385,1562.0,Train,Logistic Regression
accuracy,0.7275398824517213,0.7275398824517213,0.7275398824517213,0.7275398824517213,Train,Logistic Regression
macro avg,0.781298406119584,0.6149854782798788,0.6075787517753181,2382.0,Train,Logistic Regression
weighted avg,0.7602155178735195,0.7275398824517213,0.6751650531890547,2382.0,Train,Logistic Regression
0,0.8448275862068966,0.23902439024390243,0.3726235741444867,205.0,Test,Logistic Regression
1,0.7100371747211895,0.9769820971867008,0.8223896663078579,391.0,Test,Logistic Regression
accuracy,0.7231543624161074,0.7231543624161074,0.7231543624161074,0.7231543624161074,Test,Logistic Regression
macro avg,0.7774323804640431,0.6080032437153016,0.5975066202261723,596.0,Test,Logistic Regression
weighted avg,0.756399648470468,0.7231543624161074,0.6676882419899198,596.0,Test,Logistic Regression
0,1.0,1.0,1.0,820.0,Train,Random Forest
1,1.0,1.0,1.0,1562.0,Train,Random Forest
accuracy,1.0,1.0,1.0,1.0,Train,Random Forest
macro avg,1.0,1.0,1.0,2382.0,Train,Random Forest
weighted avg,1.0,1.0,1.0,2382.0,Train,Random Forest
0,0.9122807017543859,0.7609756097560976,0.8297872340425532,205.0,Test,Random Forest
1,0.8847058823529412,0.9616368286445013,0.9215686274509803,391.0,Test,Random Forest
accuracy,0.8926174496644296,0.8926174496644296,0.8926174496644296,0.8926174496644296,Test,Random Forest
macro avg,0.8984932920536636,0.8613062192002994,0.8756779307467668,596.0,Test,Random Forest
weighted avg,0.8941905098316261,0.8926174496644296,0.889999524013518,596.0,Test,Random Forest
0,0.9987819732034104,1.0,0.9993906154783668,820.0,Train,XGBoost
1,1.0,0.9993597951344431,0.9996797950688441,1562.0,Train,XGBoost
accuracy,0.9995801847187238,0.9995801847187238,0.9995801847187238,0.9995801847187238,Train,XGBoost
macro avg,0.9993909866017052,0.9996798975672215,0.9995352052736055,2382.0,Train,XGBoost
weighted avg,0.999580696064986,0.9995801847187238,0.9995802454197292,2382.0,Train,XGBoost
0,0.8723404255319149,0.8,0.8346055979643766,205.0,Test,XGBoost
1,0.8995098039215687,0.9386189258312021,0.918648310387985,391.0,Test,XGBoost
accuracy,0.8909395973154363,0.8909395973154363,0.8909395973154363,0.8909395973154363,Test,XGBoost
macro avg,0.8859251147267417,0.8693094629156011,0.8766269541761809,596.0,Test,XGBoost
weighted avg,0.8901646318244563,0.8909395973154363,0.8897410015845627,596.0,Test,XGBoost
