iter	Logloss
0	0.6822398826
1	0.6744570515
2	0.6673633307
3	0.660482196
4	0.6544743478
5	0.6477980799
6	0.6421896055
7	0.6371002852
8	0.6331629071
9	0.6291414163
10	0.6253359251
11	0.621862887
12	0.6185854261
13	0.6156318336
14	0.6131671927
15	0.6105285467
16	0.6079745052
17	0.6057482943
18	0.6034209611
19	0.6011844543
20	0.5995397708
21	0.5972728477
22	0.5959026567
23	0.5944596603
24	0.5925868603
25	0.5909895584
26	0.5898203584
27	0.5881614452
28	0.5867502216
29	0.5854169821
30	0.584071088
31	0.5833189804
32	0.5818150561
33	0.5810188541
34	0.579521949
35	0.5781226791
36	0.5769707395
37	0.5758270471
38	0.5743712995
39	0.5727125128
40	0.5717235619
41	0.5708756358
42	0.5695942135
43	0.5690864358
44	0.5682077418
45	0.5671637895
46	0.5662395989
47	0.5657905446
48	0.5650264437
49	0.5643217965
50	0.5634091187
51	0.5623817118
52	0.5617021941
53	0.560791821
54	0.5600682075
55	0.5592162166
56	0.5586077588
57	0.5580614406
58	0.5573773578
59	0.5563837208
60	0.5556609107
61	0.5547441129
62	0.5539278287
63	0.5535470255
64	0.55296313
65	0.5521976843
66	0.5517458853
67	0.551334966
68	0.5510425599
69	0.5502972911
70	0.5494555228
71	0.5488077532
72	0.5480881052
73	0.547359049
74	0.5463765697
75	0.5457593831
76	0.5452973328
77	0.5450284567
78	0.5444313544
79	0.5436632465
80	0.5429331775
81	0.5423707466
82	0.5419187326
83	0.5411063974
84	0.540583864
85	0.5399376497
86	0.5396947266
87	0.5392010125
88	0.5386606287
89	0.5380398732
90	0.5374755007
91	0.5367470908
92	0.5360135672
93	0.5357683641
94	0.5350829201
95	0.5346290362
96	0.5341511118
97	0.533670717
98	0.5332761353
99	0.532622129
100	0.5318355711
101	0.531192736
102	0.5305146657
103	0.5299494097
104	0.52913823
105	0.5286444397
106	0.5282641322
107	0.5279290377
108	0.5274531736
109	0.526733952
110	0.5261846015
111	0.5258609747
112	0.5253412406
113	0.5248823461
114	0.52421591
115	0.5236415875
116	0.5234152147
117	0.5227738619
118	0.5223384749
119	0.5219781008
120	0.5214723794
121	0.5209708785
122	0.5204512188
123	0.5199384244
124	0.5192808072
125	0.5187385485
126	0.5182824543
127	0.5179626416
128	0.517527971
129	0.5172021267
130	0.5165407159
131	0.5160849927
132	0.5154628909
133	0.5150424413
134	0.5146675596
135	0.5143186508
136	0.5138063305
137	0.5137249216
138	0.5130682559
139	0.5127555762
140	0.5123361203
141	0.5120957599
142	0.5115132601
143	0.5109617484
144	0.510365359
145	0.509977528
146	0.5093244034
147	0.5085975377
148	0.5081078282
149	0.5076663118
150	0.5073183926
151	0.5067784592
152	0.5059776495
153	0.5055771119
154	0.5051256004
155	0.5043940932
156	0.5039991784
157	0.5033055834
158	0.5029548793
159	0.5025667111
160	0.5021100622
161	0.5015951132
162	0.500967393
163	0.5003843313
164	0.5001279742
165	0.4995659373
166	0.4989368598
167	0.4979237171
168	0.4973512872
169	0.4967842488
170	0.4960445632
171	0.4952653178
172	0.4948418504
173	0.4942541799
174	0.4937412233
175	0.4931213316
176	0.4927053567
177	0.4921494562
178	0.4915707285
179	0.4909878528
180	0.4907430722
181	0.4902063839
182	0.4895087324
183	0.4889257891
184	0.4884779309
185	0.4877316755
186	0.4869997635
187	0.4863401681
188	0.485975172
189	0.4854500122
190	0.4848520371
191	0.4843734009
192	0.48377184
193	0.4831153446
194	0.4825135178
195	0.4819740381
196	0.4813502423
197	0.4809001498
198	0.4805623471
199	0.4798632974
