iter	Passed	Remaining
0	1	214
1	2	200
2	3	198
3	4	198
4	5	198
5	6	199
6	7	199
7	8	200
8	9	199
9	10	199
10	11	200
11	12	198
12	13	197
13	14	196
14	15	193
15	16	192
16	17	190
17	18	189
18	19	188
19	20	187
20	22	188
21	23	187
22	24	186
23	25	185
24	26	184
25	27	183
26	28	182
27	29	181
28	30	180
29	31	179
30	32	177
31	33	177
32	34	176
33	35	175
34	36	174
35	37	172
36	38	171
37	40	170
38	41	169
39	42	168
40	43	167
41	44	166
42	45	164
43	46	164
44	47	163
45	48	162
46	49	160
47	50	159
48	51	158
49	52	157
50	53	156
51	54	155
52	55	154
53	56	153
54	57	152
55	58	151
56	59	150
57	60	148
58	61	148
59	63	147
60	63	145
61	65	144
62	66	143
63	67	142
64	68	141
65	69	140
66	70	139
67	71	138
68	72	137
69	73	136
70	74	135
71	75	134
72	76	133
73	77	131
74	78	130
75	79	129
76	80	128
77	81	127
78	82	126
79	83	125
80	84	124
81	85	123
82	87	122
83	88	121
84	89	120
85	90	119
86	91	118
87	92	117
88	93	116
89	94	115
90	95	114
91	96	113
92	97	112
93	98	111
94	99	109
95	100	108
96	101	107
97	102	106
98	103	105
99	104	104
100	105	103
101	106	102
102	107	101
103	109	100
104	110	99
105	111	99
106	112	98
107	114	97
108	115	96
109	116	95
110	117	94
111	118	93
112	119	92
113	120	91
114	122	90
115	123	89
116	124	88
117	126	87
118	127	86
119	128	85
120	129	84
121	130	83
122	131	82
123	132	81
124	133	80
125	134	79
126	135	78
127	136	77
128	138	76
129	139	74
130	140	74
131	141	73
132	143	72
133	144	71
134	145	70
135	146	68
136	147	67
137	148	66
138	149	65
139	151	64
140	151	63
141	153	62
142	154	61
143	155	60
144	156	59
145	156	58
146	158	56
147	159	55
148	160	54
149	161	53
150	162	52
151	163	51
152	164	50
153	165	49
154	166	48
155	167	47
156	168	46
157	169	44
158	170	43
159	171	42
160	172	41
161	173	40
162	174	39
163	175	38
164	176	37
165	177	36
166	178	35
167	179	34
168	180	33
169	181	32
170	182	30
171	183	29
172	184	28
173	185	27
174	186	26
175	187	25
176	188	24
177	189	23
178	190	22
179	191	21
180	192	20
181	193	19
182	194	18
183	195	17
184	197	15
185	198	14
186	199	13
187	200	12
188	201	11
189	202	10
190	203	9
191	204	8
192	205	7
193	206	6
194	207	5
195	208	4
196	209	3
197	210	2
198	211	1
199	212	0
