iter	Passed	Remaining
0	1	382
1	3	388
2	5	365
3	6	335
4	8	321
5	9	322
6	11	306
7	12	297
8	13	290
9	15	297
10	17	292
11	18	288
12	19	286
13	21	283
14	22	277
15	23	275
16	25	272
17	26	271
18	28	270
19	29	266
20	30	264
21	32	262
22	34	263
23	35	263
24	37	261
25	38	259
26	40	256
27	41	254
28	43	254
29	44	252
30	45	250
31	47	248
32	48	245
33	50	247
34	52	246
35	54	246
36	56	247
37	57	245
38	59	244
39	60	242
40	62	240
41	64	241
42	65	240
43	67	238
44	68	235
45	69	233
46	71	231
47	72	229
48	73	227
49	75	225
50	76	224
51	78	222
52	79	220
53	81	220
54	82	218
55	84	216
56	85	214
57	87	214
58	89	214
59	91	212
60	92	210
61	93	208
62	95	207
63	96	205
64	98	203
65	99	202
66	100	200
67	102	198
68	103	196
69	105	195
70	106	193
71	107	191
72	109	190
73	110	188
74	112	188
75	114	186
76	115	185
77	117	183
78	119	182
79	120	180
80	121	179
81	123	177
82	124	176
83	126	174
84	127	172
85	129	171
86	130	169
87	132	168
88	133	166
89	135	165
90	136	163
91	137	161
92	139	160
93	141	159
94	142	157
95	144	156
96	146	155
97	147	153
98	149	152
99	150	150
100	151	148
101	153	147
102	154	145
103	156	144
104	157	142
105	159	141
106	160	139
107	162	138
108	163	136
109	165	135
110	167	134
111	169	133
112	170	131
113	172	130
114	174	129
115	175	127
116	177	126
117	179	124
118	180	123
119	182	121
120	183	120
121	185	118
122	186	116
123	187	115
124	189	113
125	190	112
126	192	110
127	194	109
128	196	107
129	197	106
130	199	104
131	201	103
132	202	102
133	204	100
134	205	98
135	207	97
136	208	95
137	209	94
138	211	92
139	212	91
140	214	89
141	215	88
142	216	86
143	218	84
144	219	83
145	221	82
146	223	80
147	224	78
148	226	77
149	227	75
150	229	74
151	231	73
152	232	71
153	234	69
154	235	68
155	236	66
156	238	65
157	239	63
158	241	62
159	242	60
160	244	59
161	245	57
162	248	56
163	249	54
164	250	53
165	252	51
166	254	50
167	255	48
168	257	47
169	259	45
170	261	44
171	262	42
172	264	41
173	265	39
174	267	38
175	268	36
176	270	35
177	271	33
178	273	32
179	275	30
180	276	29
181	278	27
182	279	25
183	281	24
184	283	22
185	284	21
186	285	19
187	287	18
188	289	16
189	290	15
190	291	13
191	293	12
192	295	10
193	296	9
194	297	7
195	299	6
196	301	4
197	302	3
198	304	1
199	305	0
